"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" илашревос инО";"в";"Они совершали ";"в";" ";"бегах преступления для того, чтобы получить";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Они совершали в бегах преступления для того, чтобы получить наказание плетьми или шпицрутенами и быть записанными в разряд ссыльнокаторжных, т. е. срочных горных работников. ";"65590:3556:2"
" яинелпутсерп еиклем отч ,адварП";"в";"Правда, что мелкие преступления ";"в";" ";"бегах оценивались, по поимке, уменьшением жалованья";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Правда, что мелкие преступления в бегах оценивались, по поимке, уменьшением жалованья, назначением на усиленные работы и розгами, но некоторым сразу удавалось прямо попадать на каторгу, на срок. ";"65590:3557:4"
" и илажеб оньлетанзос еыротокеН";"в";"Некоторые сознательно бежали и ";"в";" ";"бегах делали преступления исключительно и намеренно";"С. В. Максимов. Сибирь и каторга (1871)";"С. В. Максимов";"1831";"Сибирь и каторга";"1871";"публицистика | нехудожественная";"очерк";"история | филология | криминал | администрация и управление";"Максимов С. В. Каторга империи";"2002";"книга";"омонимия не снята";"6046";"117749";"н-возраст";"н-уровень";"большая";"Некоторые сознательно бежали и в бегах делали преступления исключительно и намеренно для того, чтобы попасть именно на каторгу. ";"65590:4807:4"
" и ежад отч ,хулс лыБ";"в";"Был слух, что даже и ";"в";" ";"бегах он состоял. ";"Г. И. Успенский. Наблюдения одного лентяя (Очерки провинциальной жизни) / Из цикла «Разоренье» (1871)";"Г. И. Успенский";"1843";"Наблюдения одного лентяя (Очерки провинциальной жизни) / Из цикла «Разоренье»";"1871";"художественная";"повесть";"";"Успенский Г. И. Собрание сочинений в девяти томах. Том 2. Разоренье. Очерки и рассказы";"1955";"книга";"омонимия не снята";"3057";"30456";"н-возраст";"н-уровень";"большая";"Был слух, что даже и в бегах он состоял. ";"69100:2626:5"
" ясхишвидохан ,йевоныс яинечулоп ялд ьтсач в";"в";"в часть для получения сыновей, находившихся ";"в";" ";"бегах. ";"П. В. Засодимский. Темные силы (1870)";"П. В. Засодимский";"1834";"Темные силы";"1870";"художественная";"повесть";"";"Русские повести XIX века 60-х годов. Том 1";"1956";"книга";"омонимия не снята";"2190";"30732";"н-возраст";"н-уровень";"большая";"Согнувшись в три погибели, вошел служивый в жилище столяра, вполоборота оглянул Никиту и пригласил его следовать за собой в часть для получения сыновей, находившихся в бегах. ";"69921:959:24"
" яслидохан но как ,ямерв отэ в";"в";"в это время, как он находился ";"в";" ";"бегах из Петербурга. ";"Н. С. Лесков. На ножах (1870)";"Н. С. Лесков";"1831";"На ножах";"1870";"художественная";"роман";"";"Лесков Н. С. Энциклопедическое собрание сочинений";"";"книга";"омонимия не снята";"15766";"235338";"н-возраст";"н-уровень";"очень большая";"Приближение к России наполняло беспокойное воображение Жозефа неописанными страхами, и Иосаф Платонович уже млел и терялся в Берлине, а завтра ждал его еще больший страх и ужас: завтра он будет в отечестве,  «которого и дым нам сладок и приятен», и увидит наконец свою жену и ее малюток, которые, без сомнения, выросли и похорошели в это время, как он находился в бегах из Петербурга. ";"65442:10873:59"
" яслидохан но отч и ыротнок йоксдоваз";"в";"заводской конторы и что он находился ";"в";" ";"бегах из острога несколько лет, жил";"Ф. М. Решетников. Где лучше? (1868)";"Ф. М. Решетников";"1841";"Где лучше?";"1868";"художественная";"роман";"";"Ф. М. Решетников. Где лучше?: Роман в двух частях";"1982";"книга";"омонимия не снята";"10163";"119412";"н-возраст";"н-уровень";"большая";"Одни из арестантов говорили, что это бывший писец никитинской заводской конторы и что он находился в бегах из острога несколько лет, жил по фальшивому паспорту и сам делал фальшивые паспорты. ";"67961:2988:15"
" ястидохан йичобар тотэ отч ,ешьнар уме";"в";"ему раньше, что этот рабочий находится ";"в";" ";"бегах?  ";"Ф. М. Решетников. Где лучше? (1868)";"Ф. М. Решетников";"1841";"Где лучше?";"1868";"художественная";"роман";"";"Ф. М. Решетников. Где лучше?: Роман в двух частях";"1982";"книга";"омонимия не снята";"10163";"119412";"н-возраст";"н-уровень";"большая";"Исправник просит донести ему: давала ли контора билет рабочему, и если давала, то почему она доносила ему раньше, что этот рабочий находится в бегах?  ";"67961:3000:22"
" мав огеч и аД";"в";"Да и чего вам ";"в";" ";"бегах?  ";"Ф. М. Достоевский. Преступление и наказание (1866)";"Ф. М. Достоевский";"1821";"Преступление и наказание";"1866";"художественная";"роман";"";"Ф. Достоевский. Полное собрание сочинений в 30 томах";"1972";"книга";"омонимия не снята";"13622";"170889";"н-возраст";"н-уровень";"очень большая";"Да и чего вам в бегах?  ";"63905:11348:4"
"";"В";"";"В";" ";"бегах гадко и трудно, а вам";"Ф. М. Достоевский. Преступление и наказание (1866)";"Ф. М. Достоевский";"1821";"Преступление и наказание";"1866";"художественная";"роман";"";"Ф. Достоевский. Полное собрание сочинений в 30 томах";"1972";"книга";"омонимия не снята";"13622";"170889";"н-возраст";"н-уровень";"очень большая";"В бегах гадко и трудно, а вам прежде всего надо жизни и положения определенного, воздуху соответственного; ну, а ваш ли там воздух?  ";"63905:11349:0"
" иирепми йокснамреГ йиракив ― тгоФ .К";"в";"К. Фогт ― викарий Германской империи ";"в";" ";"бегах», снова принялся с той же";"А. И. Герцен. Былое и думы. Часть пятая. Париж-Италия-Париж (1862-1866)";"А. И. Герцен";"1812";"Былое и думы. Часть пятая. Париж-Италия-Париж";"1862-1866";"публицистика | нехудожественная";"мемуары";"";"";"";"книга";"омонимия не снята";"5871";"102410";"н-возраст";"н-уровень";"очень большая";"К. Фогт ― викарий Германской империи в бегах», снова принялся с той же невозмутимой ясностью, веселым расположением духаи неутомимым трудолюбием за естественные науки. ";"64512:2432:5"
