"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ,ытанмок ,ьсяахыдаз ,лажебо ,мод в яслисорб";"ан";"бросился в дом, обежал, задыхаясь, комнаты, ";"на";" ";"бегу схватил обезьяну ― и вдруг отчаялся";"В. Ф. Панова. Сережа (1955)";"В. Ф. Панова";"1905";"Сережа";"1955";"художественная";"повесть";"";"Панова В. Ф. Собр. соч.: В 5 т. Т. 3";"1987";"книга";"омонимия не снята";"3095";"26499";"н-возраст";"н-уровень";"большая";"Потом Сережа бросился в дом, обежал, задыхаясь, комнаты, на бегу схватил обезьяну ― и вдруг отчаялся, решив, что Коростелев, наверно, передумал, мама и тетя Паша его отговорили, ― и кинулся опять туда к ним. ";"23536:3065:8"
" ― ?ондзоп кат ыв умечоП";"ан";"Почему вы так поздно? ― ";"на";" ";"бегу спросил их племянник Свентицких Жорж";"Б. Л. Пастернак. Доктор Живаго (1945-1955)";"Б. Л. Пастернак";"1890";"Доктор Живаго";"1945-1955";"художественная";"роман";"";"Борис Пастернак. Доктор Живаго";"1990";"книга";"омонимия не снята";"14836";"149101";"н-возраст";"н-уровень";"очень большая";"Почему вы так поздно? ― на бегу спросил их племянник Свентицких Жорж, пробегая через переднюю внутрь квартиры к дяде и тете. ";"126688:2079:4"
" ― ?еж как ыт А";"ан";"А ты как же? ― ";"на";" ";"бегу спрашивал Гордон. ";"Б. Л. Пастернак. Доктор Живаго (1945-1955)";"Б. Л. Пастернак";"1890";"Доктор Живаго";"1945-1955";"художественная";"роман";"";"Борис Пастернак. Доктор Живаго";"1990";"книга";"омонимия не снята";"14836";"149101";"н-возраст";"н-уровень";"очень большая";"А ты как же? ― на бегу спрашивал Гордон. ";"126688:3192:4"
" и екур в мозутрак микцинровд с";"ан";"с дворницким картузом в руке и ";"на";" ";"бегу кричал: ― Силы небесные, никак Юрочка?  ";"Б. Л. Пастернак. Доктор Живаго (1945-1955)";"Б. Л. Пастернак";"1890";"Доктор Живаго";"1945-1955";"художественная";"роман";"";"Борис Пастернак. Доктор Живаго";"1990";"книга";"омонимия не снята";"14836";"149101";"н-возраст";"н-уровень";"очень большая";"Между тем от ворот уже бежал к молодым господам Маркел в жилетке поверх ситцевой рубахи, с дворницким картузом в руке и на бегу кричал: ― Силы небесные, никак Юрочка?  ";"126688:4300:21"
" ,йежедо аз ― Я";"ан";"Я ― за одежей, ";"на";" ";"бегу оделся и к Саньке. ";"Б. Л. Пастернак. Доктор Живаго (1945-1955)";"Б. Л. Пастернак";"1890";"Доктор Живаго";"1945-1955";"художественная";"роман";"";"Борис Пастернак. Доктор Живаго";"1990";"книга";"омонимия не снята";"14836";"149101";"н-возраст";"н-уровень";"очень большая";"Я ― за одежей, на бегу оделся и к Саньке. ";"126688:9108:3"
" ьсилунпаз ,ьсолазак ,мапоко миксежарв к хапутсдоп";"ан";"подступах к вражеским окопам, казалось, запнулись ";"на";" ";"бегу от усталости и уснули, не";"Вадим Шефнер. Листопад воспоминаний (1945-1955) // «Звезда», 2003";"Вадим Шефнер";"1915";"Листопад воспоминаний";"1945-1955";"публицистика | нехудожественная";"мемуары";"";"«Звезда»";"2003";"журнал";"омонимия не снята";"756";"7749";"н-возраст";"н-уровень";"большая";"И мертвецы, припавшие к опаленному суглинку на подступах к вражеским окопам, казалось, запнулись на бегу от усталости и уснули, не выпуская из рук оружия, и будут спать годы, а потом снова встанут и, с корнем вырывая травы, пришившие их тела к земле, в молчаливой ярости кинутся вперед, в атаку, и полевые бесстыдно алые маки, проросшие сквозь их сердца, будут колыхаться на лоскутьях их одежд. ";"127977:118:13"
" но ламуд ― ,левдоп ен вокинбуЛ ыб";"ан";"бы Лубников не подвел, ― думал он ";"на";" ";"бегу. ";"Борис Можаев. Власть тайги (1954)";"Борис Можаев";"1923";"Власть тайги";"1954";"художественная";"рассказ";"";"Борис Можаев. Живой. Повесть и рассказы";"1977";"книга";"омонимия не снята";"1075";"9125";"н-возраст";"н-уровень";"большая";"Только бы Лубников не подвел, ― думал он на бегу. ";"23370:632:7"
"";"аН";"";"На";" ";"бегу я вспоминаю, что у меня";"С. В. Обручев. В неизведанные края. Путешествия на Север 1917-1930 г. г (1954)";"С. В. Обручев";"1891";"В неизведанные края. Путешествия на Север 1917-1930 г. г";"1954";"учебно-научная | нехудожественная";"монография";"наука и технологии | география";"В неизведанные края. Путешествия на Север 1917―1930 г. г";"1954";"книга";"омонимия не снята";"5439";"86659";"н-возраст";"н-уровень";"большая";"На бегу я вспоминаю, что у меня с собой аппарат, и жаль пропустить такой замечательный случай. ";"77847:5338:0"
" еще ,ьсишвашыдто еН";"ан";"Не отдышавшись, еще ";"на";" ";"бегу, он воскликнул:  ";"М. С. Шагинян. Месс-Менд, или Янки в Петрограде (1923-1924|1954)";"М. С. Шагинян";"1888";"Месс-Менд, или Янки в Петрограде";"1923-1924|1954";"художественная";"роман";"";"Мариэтта Шагинян. Месс-менд";"1988";"книга";"омонимия не снята";"6691";"74464";"н-возраст";"н-уровень";"большая";"Не отдышавшись, еще на бегу, он воскликнул:  ";"127961:1957:3"
" ,лажебв йиксворанйоВ";"ан";"Войнаровский вбежал, ";"на";" ";"бегу натягивая плащ. ";"В. Ф. Панова. Времена года. Из летописей города Энска (1953)";"В. Ф. Панова";"1905";"Времена года. Из летописей города Энска";"1953";"художественная";"роман";"";"Панова В. Ф. Собр. соч.: В 5 т. Т. 2";"1987";"книга";"омонимия не снята";"9169";"89324";"н-возраст";"н-уровень";"большая";"Войнаровский вбежал, на бегу натягивая плащ. ";"23532:5625:2"
