"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" зар йытос в А";"ясьтасапс";"А в сотый раз ";"спасаться";" ";"бегством и заниматься тупым выживанием непонятно";"Олег Дивов. Молодые и сильные выживут (1998)";"Олег Дивов";"1968";"Молодые и сильные выживут";"1998";"художественная";"роман";"";"Олег Дивов. Молодые и сильные выживут";"1998";"книга";"омонимия не снята";"14313";"96050";"н-возраст";"н-уровень";"большая";"А в сотый раз спасаться бегством и заниматься тупым выживанием непонятно для чего ― не хотелось вовсе. ";"22514:13425:4"
" ьсилатып ыруК";"ясьтасапс";"Куры пытались ";"спасаться";" ";"бегством, но повсюду натыкались на засады";"Дмитрий Липскеров. Сорок лет Чанчжоэ (1996)";"Дмитрий Липскеров";"1964";"Сорок лет Чанчжоэ";"1996";"художественная";"роман";"";"Липскеров Д. Сорок лет Чанчжоэ";"1996";"книга";"омонимия не снята";"7840";"74008";"н-возраст";"н-уровень";"большая";"Куры пытались спасаться бегством, но повсюду натыкались на засады погромщиков. ";"53596:7096:2"
" лишер я ,еондален алирзодопаз ано отч";"ясьтасапс";"что она заподозрила неладное, я решил ";"спасаться";" ";"бегством, встал и со словами:  «Ну";"Павел Санаев. Похороните меня за плинтусом (1995) // «Октябрь», 1996";"Павел Санаев";"1969";"Похороните меня за плинтусом";"1995";"художественная";"повесть";"";"«Октябрь»";"1996";"журнал";"омонимия не снята";"4897";"45847";"н-возраст";"н-уровень";"большая";"Поняв, что она заподозрила неладное, я решил спасаться бегством, встал и со словами:  «Ну нет, я так больше не могу заниматься» ― пошел из комнаты. ";"23866:648:7"
" лыб неджуныв анас-рымА и нав-рыдиШ нечавхс";"ясьтасапс";"схвачен Шидыр-ван и Амыр-сана вынужден был ";"спасаться";" ";"бегством, то, будто бы, предок Тюдун";"Инесса Ломакина. Голова Джа-ламы // «Наука и религия», 1992";"Инесса Ломакина";"1930";"Голова Джа-ламы";"1992";"публицистика";"очерк";"искусство и культура | история | религия";"«Наука и религия»";"1992";"журнал";"омонимия не снята";"221";"3849";"н-возраст";"н-уровень";"большая";"В путевых заметках «От Хангельцыка до Кош-Агача», напечатанных в газете «Сибирская жизнь», Бурдуков рассказал о том, как баитский1 князь в сопровождении вооруженных солдат вез Джа-ламе в Кобдо реликвии ― старинное ружье и треногу для огня, которые якобы принадлежали самому Амурсане:  «У байтов сохранилось предание, что в 1750-х гг., когда был схвачен Шидыр-ван и Амыр-сана вынужден был спасаться бегством, то, будто бы, предок Тюдун-гуна дал ему четырехлетнего голубого коня, на котором он и спасся, убежав в Россию. ";"45771:27:56"
" йывотог ,ежатэ мовреп ан ремаз Я";"ясьтасапс";"Я замер на первом этаже, готовый ";"спасаться";" ";"бегством в случае подвоха. ";"Карен Шахназаров. Курьер (1986)";"Карен Шахназаров";"1952";"Курьер";"1986";"художественная";"повесть";"";"К. Шахназаров. Курьер";"2004";"книга";"омонимия не снята";"2284";"18766";"н-возраст";"н-уровень";"очень большая";"Я замер на первом этаже, готовый спасаться бегством в случае подвоха. ";"23839:763:6"
" окьлот как ,ястеатсо ен огогурд огечин";"ясьтасапс";"ничего другого не остается, как только ";"спасаться";" ";"бегством. ";"И. И. Акимушкин. Проблемы этологии (1985)";"И. И. Акимушкин";"1929";"Проблемы этологии";"1985";"учебно-научная";"монография";"наука и технологии | биология";"«Проблемы этологии», М.: «Молодая гвардия», 1985";"1985";"книга";"омонимия не снята";"3757";"50617";"подростковый";"н-уровень";"большая";"Человеку, говорит Бейтс, ничего другого не остается, как только спасаться бегством. ";"129369:2359:9"
" олыб онжун огеч то ,ытомаргтилоп икору";"ясьтасапс";"уроки политграмоты, от чего нужно было ";"спасаться";" ";"бегством. ";"Б. Г. Бажанов. Воспоминания бывшего секретаря Сталина (1980)";"Б. Г. Бажанов";"1900";"Воспоминания бывшего секретаря Сталина";"1980";"публицистика";"мемуары";"";"Борис Бажанов. Воспоминания бывшего секретаря Сталина";"1992";"книга";"омонимия не снята";"5724";"84693";"н-возраст";"н-уровень";"большая";"Это, конечно, не вызывало ни малейшего интереса и рассматривалось как нечто не менее скучное, чем уроки политграмоты, от чего нужно было спасаться бегством. ";"22223:1794:21"
" ьсалисорб аруШ оге едив ирП";"ясьтасапс";"При виде его Шура бросилась ";"спасаться";" ";"бегством. ";"Эльдар Рязанов, Эмиль Брагинский. Служебный роман (1977)";"Эльдар Рязанов | Эмиль Брагинский";"1927|1921";"Служебный роман";"1977";"художественная";"киноповесть";"";"Эльдар Рязанов, Эмиль Брагинский. Тихие омуты";"1999";"книга";"омонимия не снята";"2542";"19101";"н-возраст";"н-уровень";"большая";"При виде его Шура бросилась спасаться бегством. ";"52948:1938:5"
" ьсолширп минделсоп отч ,кат И";"ясьтасапс";"И так, что последним пришлось ";"спасаться";" ";"бегством, оставив за собой целое облачко";"Клуб Почемучек // «Юный натуралист», 1975";"коллективный";"";"Клуб Почемучек";"1975";"учебно-научная | нехудожественная";"заметка";"наука и технологии | природа";"«Юный натуралист»";"1975";"журнал";"омонимия не снята";"244";"2323";"детский";"н-уровень";"очень большая";"И так, что последним пришлось спасаться бегством, оставив за собой целое облачко пуха. ";"39888:130:5"
"";"ясьтасапС";"";"Спасаться";" ";"бегством было глупо ― опаснее, чем оставаться";"Юлия Друнина. Алиска (1973)";"Юлия Друнина";"1924";"Алиска";"1973";"художественная";"повесть";"";"Избранные произведения в двух томах. Том 1. Проза (1966–1979)";"1981";"книга";"омонимия не снята";"922";"10089";"н-возраст";"н-уровень";"очень большая";"Спасаться бегством было глупо ― опаснее, чем оставаться на месте и попытаться занять Пирата светскими разговорами до тех пор, пока не прибудет его хозяйка с поводком. ";"22570:841:0"
" итчоп неджуныв но котолг хывородз нетос";"ясьтасапс";"сотен здоровых глоток он вынужден почти ";"спасаться";" ";"бегством. ";"Л. Ягункова. Передается зрителю // «Советский экран», 1972";"Л. Ягункова";"";"Передается зрителю";"1972";"публицистика | нехудожественная";"статья";"искусство и культура";"«Советский экран»";"1972";"журнал";"омонимия не снята";"90";"1371";"н-возраст";"н-уровень";"большая";"Под вой и улюлюканье сотен здоровых глоток он вынужден почти спасаться бегством. ";"48522:74:10"
" ливатсо водиж а ,умьрют в ее";"ясьтасапс";"ее в тюрьму, а жидов оставил ";"спасаться";" ";"бегством. ";"В. В. Шульгин. Последний очевидец (1971)";"В. В. Шульгин";"1878";"Последний очевидец";"1971";"публицистика | нехудожественная";"мемуары";"";"В. В. Шульгин «Последний очевидец. Мемуары. Очерки. Сны";"2002";"книга";"омонимия не снята";"11318";"126190";"н-возраст";"н-уровень";"средняя";"Он с первой же минуты сцапал родную мать убитого и посадил ее в тюрьму, а жидов оставил спасаться бегством. ";"128096:4620:17"
" ьсолширп маров мывилчадуен и ,иговерт лангис";"ясьтасапс";"сигнал тревоги, и неудачливым ворам пришлось ";"спасаться";" ";"бегством. ";"Новости отовсюду // «Химия и жизнь», 1966";"обобщенный";"";"Новости отовсюду";"1966";"публицистика | нехудожественная";"заметка";"наука и технологии | химия";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"97";"1302";"н-возраст";"н-уровень";"большая";"К тому же раздался сигнал тревоги, и неудачливым ворам пришлось спасаться бегством. ";"34485:5:10"
" окьлот как ,ястеатсо ен огогурд огечин";"ясьтасапс";"ничего другого не остается, как только ";"спасаться";" ";"бегством». ";"И. И. Акимушкин. Куда? И как? (1965)";"И. И. Акимушкин";"1929";"Куда? И как?";"1965";"учебно-научная";"монография";"наука и технологии | биология | природа";"«Куда? И как?», М.: «Мысль», 1965";"1965";"книга";"омонимия не снята";"5033";"70308";"подростковый";"н-уровень";"большая";"Человеку, говорит Бейтс (а он-то хорошо знает этих шестиногих «бульдогов», потому что одиннадцать лет прожил в лесах Амазонки),  «ничего другого не остается, как только спасаться бегством». ";"129368:1424:25"
" лишер сюжД нифрУ";"ясьтасапс";"Урфин Джюс решил ";"спасаться";" ";"бегством. ";"А. М. Волков. Урфин Джюс и его деревянные солдаты (1963)";"А. М. Волков";"1891";"Урфин Джюс и его деревянные солдаты";"1963";"художественная";"сказка";"";"Александр Волков. Изумрудный город. Книга II";"";"книга";"омонимия не снята";"3330";"37320";"детский";"н-уровень";"очень большая";"Урфин Джюс решил спасаться бегством. ";"128784:3114:3"
" как ,ястеатсо ен огечин уме отч";"ясьтасапс";"что ему ничего не остается, как ";"спасаться";" ";"бегством. ";"А. П. Ладинский. Анна Ярославна ― королева Франции (1960)";"А. П. Ладинский";"1895";"Анна Ярославна ― королева Франции";"1960";"художественная";"роман";"";"Ладинский А. П. Когда пал Херсонес. Анна Ярославна — королева Франции";"1989";"книга";"омонимия не снята";"9058";"117470";"н-возраст";"н-уровень";"большая";"Бертран, который далеко не был трусом, но никогда в жизни не дрался со священниками, решил, что ему ничего не остается, как спасаться бегством. ";"23219:5052:21"
